,City,Cloudiness,Country,Humidity,Latitude,Longitude,Max Temp,Wind Speed
72,sarahan,25,IN,63,31.52,77.8,68.05,1.01
73,kapaa,20,US,70,22.08,-159.32,84.2,9.17
74,meulaboh,69,ID,82,4.14,96.13,80.73,3.24
75,lieksa,0,FI,72,63.32,30.02,48.34,4.68
76,kotelnich,35,RU,89,58.31,48.35,58.01,4.29
77,kulhudhuffushi,100,MV,75,6.62,73.07,84.22,13.42
78,mar del plata,90,ES,77,43.4,-4.01,66.2,2.24
79,kavieng,10,PG,65,-2.57,150.8,85.66,5.46
80,nieves,95,PH,62,15.33,120.95,89.15,3.87
81,libreville,75,GA,83,0.39,9.45,77.0,6.93
82,harper,91,LR,79,4.38,-7.72,74.93,7.07
83,mataura,45,NZ,83,-46.19,168.86,39.0,3.0
84,santo antonio do monte,63,EC,93,-0.59,-80.0,71.35,3.83
85,geraldton,75,AU,77,-28.77,114.6,59.0,11.41
86,simbahan,100,PH,74,6.3,120.58,82.22,5.99
87,qaanaaq,39,GL,75,77.48,-69.36,43.48,3.71
88,adrar,64,MR,30,20.5,-10.07,86.97,7.65
89,norman wells,1,US,59,35.22,-97.44,89.6,10.29
90,hovd,0,MN,37,48.01,91.64,65.93,3.24
91,bartica,20,GY,100,6.4,-58.62,77.0,2.24
92,tuatapere,64,NZ,83,-46.13,167.68,39.0,3.0
93,victor harbor,34,US,93,42.98,-77.41,70.0,3.0
94,luanda,69,AO,94,-8.84,13.23,68.0,2.24
95,mitsamiouli,0,KM,72,-11.38,43.28,74.73,22.59
96,hobart,20,AU,66,-42.88,147.33,48.99,8.05
97,alihe,19,CN,47,50.57,123.72,87.57,3.09
98,rawson,100,AR,81,-43.3,-65.1,43.18,9.48
99,bairiki,75,KI,70,1.33,172.98,87.8,9.17
100,ribeira grande,60,ES,76,42.75,-8.44,66.0,5.82
101,igrim,100,RU,95,63.19,64.42,63.91,4.5
102,mana,100,GF,85,5.66,-53.78,78.39,9.73
103,mehamn,90,NO,80,71.04,27.85,53.85,0.27
104,jambi,36,ID,89,-1.6,103.62,79.9,2.98
105,butaritari,100,KI,70,3.07,172.79,83.41,9.66
106,pijijiapan,25,MX,81,15.7,-93.23,78.31,2.48
107,upernavik,94,GL,75,72.79,-56.15,44.31,3.62
108,rockhampton,0,AU,25,-23.38,150.5,66.2,6.93
109,saint-michel-des-saints,97,CA,9,46.68,-73.92,66.0,6.31
110,campoverde,2,PE,76,-8.48,-74.81,75.47,1.57
111,dikson,26,RU,94,73.51,80.55,41.16,5.95
112,georgetown,20,MY,78,5.41,100.34,84.2,2.24
113,port hedland,43,CD,53,-7.03,29.76,64.63,3.69
114,hasaki,75,JP,93,35.73,140.83,68.0,12.75
115,ponta do sol,98,PT,87,38.73,-28.27,65.53,12.08
116,zyryanka,11,RU,45,65.75,150.85,59.63,4.54
117,dudinka,75,RU,76,69.41,86.18,51.8,20.13
118,saint-philippe,75,RE,88,-21.36,55.77,64.4,5.82
119,paratinga,2,BR,54,-12.69,-43.18,71.37,7.0
120,vikhorevka,90,RU,100,56.12,101.16,51.8,11.18
121,torbay,90,CA,100,47.67,-52.73,48.99,17.22
122,mount gambier,6,GB,94,53.66,-1.85,60.01,1.99
123,lumut,20,MY,78,4.23,100.63,82.4,3.36
124,pangai,75,TO,74,-19.8,-174.35,80.6,16.11
125,maniwaki,87,CA,98,46.38,-75.97,66.67,3.87
126,mazagao,20,BR,88,-0.12,-51.29,82.4,11.41
127,hualmay,14,PE,82,-11.1,-77.61,59.76,7.76
128,raudeberg,100,NO,93,61.99,5.14,60.01,13.87
129,chuy,0,UY,93,-33.7,-53.46,46.63,5.77
130,neftegorsk,57,RU,84,52.8,51.17,63.48,6.85
131,nanortalik,0,GL,61,60.14,-45.24,48.72,6.15
132,leningradskiy,92,RU,79,69.38,178.42,46.42,13.33
133,kushima,75,JP,78,31.46,131.23,75.2,4.7
134,saint-leu,75,RE,88,-21.15,55.28,64.4,5.82
135,jumla,62,NP,63,29.27,82.18,67.71,2.89
136,maningrida,0,AU,39,-12.07,134.27,81.88,9.35
137,atuona,3,PF,77,-9.8,-139.03,79.7,17.4
138,mys shmidta,74,RU,95,62.06,48.62,60.53,4.21
139,mahabad,0,IR,68,36.76,45.72,61.61,2.95
140,mount isa,6,GB,94,53.66,-1.85,60.01,1.99
141,bereda,100,ES,100,43.27,-7.54,59.0,11.99
142,zuwarah,0,LY,83,32.93,12.08,76.77,9.89
143,djenne,23,ML,75,13.91,-4.55,79.23,8.21
144,ixtapa,90,MX,94,20.7,-105.2,79.0,3.36
145,dingle,2,PH,69,11.0,122.67,86.68,3.11
146,jalu,0,LY,44,29.03,21.55,77.18,7.0
147,souillac,40,MU,77,-20.52,57.52,69.8,6.93
148,kodiak,90,US,82,57.79,-152.41,57.2,6.93
149,terrace,75,CA,67,54.52,-128.6,62.6,19.46
150,hamilton,75,US,78,39.18,-84.53,78.01,5.82
151,samarai,94,PG,84,-10.62,150.67,76.24,16.6
152,olafsvik,100,IS,76,64.89,-23.71,48.24,29.37
153,bonavista,100,CA,77,48.65,-53.11,48.0,5.01
154,aswan,0,EG,24,24.09,32.91,80.38,8.16
155,waingapu,10,ID,63,-9.66,120.26,81.95,6.87
156,lagoa,100,PT,82,39.05,-27.98,68.68,12.41
157,mont-de-marsan,40,FR,93,44.0,-0.67,59.0,1.9
158,yulara,0,AU,29,-25.24,130.99,60.8,10.29
159,sur,100,OM,60,22.57,59.53,87.22,3.15
160,sinnamary,96,GF,86,5.38,-52.95,78.26,9.31
161,mahibadhoo,100,MV,75,3.78,72.97,83.07,3.71
162,anloga,40,GH,94,5.79,0.9,75.2,8.05
163,aranos,0,NA,70,-24.13,19.12,37.08,9.19
164,coahuayana,78,MX,87,18.73,-103.68,79.61,0.18
165,buala,100,SB,73,-8.14,159.59,84.24,9.51
166,kieta,94,PG,67,-6.22,155.63,85.51,7.56
167,mouila,92,GA,87,-1.87,11.06,70.97,1.99
168,coihaique,90,CL,90,-45.58,-72.07,32.0,3.36
169,ancud,90,CL,100,-41.87,-73.82,51.01,12.75
170,cayenne,100,GF,100,4.93,-52.33,77.0,1.12
171,avarua,99,CK,64,-21.21,-159.78,73.4,12.75
172,airai,0,TL,58,-8.93,125.41,73.18,3.6
173,lebu,100,CL,91,-37.62,-73.65,52.86,22.26
174,vrangel,16,RU,82,42.73,133.08,67.95,8.77
175,porto nacional,52,PT,61,41.15,-8.61,81.0,5.1
176,urubicha,49,BO,57,-15.38,-62.95,75.72,2.01
177,grand river south east,1,US,16,38.88,-109.5,91.4,4.7
178,aklavik,20,CA,51,68.22,-135.01,62.6,9.17
179,borovoy,0,RU,88,55.43,86.08,71.6,8.95
180,shache,93,CN,34,38.42,77.24,80.44,2.66
181,beloha,26,MG,78,-25.17,45.05,58.24,5.59
182,fayaoue,0,NC,59,-20.65,166.53,69.96,9.06
183,turukhansk,57,RU,60,65.82,87.98,56.84,21.43
184,lubao,67,PH,70,14.92,120.55,89.01,4.0
185,christchurch,98,NZ,75,-43.53,172.63,48.99,11.41
186,dali,100,CN,79,25.7,100.18,66.83,5.3
187,kattivakkam,75,IN,83,13.22,80.32,82.4,5.82
188,brae,100,GB,100,60.4,-1.35,51.8,10.29
189,kudahuvadhoo,100,MV,68,2.67,72.89,84.0,1.34
190,mogadishu,100,SO,78,2.04,45.34,76.95,21.14
191,mackay,0,AU,31,-21.15,149.2,69.01,13.87
192,castro,100,BR,92,-24.79,-50.01,55.27,4.03
193,xining,20,CN,52,36.62,101.77,75.0,2.33
194,gamba,69,GA,95,-2.65,10.0,69.73,2.35
195,itum-kale,3,RU,64,42.74,45.58,67.15,6.42
196,camacha,20,PT,88,33.08,-16.33,68.0,9.17
197,alofi,40,NU,69,-19.06,-169.92,80.6,9.17
198,meadow lake,0,US,53,45.53,-102.22,75.2,8.05
199,sri aman,75,MA,88,30.04,-8.8,69.8,6.31
200,saint-joseph,75,RE,88,-21.37,55.62,64.4,5.82
201,teguise,0,ES,83,29.06,-13.56,71.6,12.75
202,najran,40,SA,42,17.49,44.13,86.0,9.17
203,ihosy,6,MG,87,-22.4,46.12,48.22,7.16
204,baie-comeau,90,CA,82,49.22,-68.15,62.6,4.7
205,cabo san lucas,40,BR,78,-8.28,-35.03,75.2,6.93
206,port elizabeth,53,CD,53,-7.03,29.76,64.42,2.28
207,manjacaze,44,MZ,85,-24.71,33.88,56.16,4.14
208,soyo,96,AO,87,-6.13,12.37,72.68,5.35
209,krasnoselkup,1,RU,64,65.7,82.47,56.44,17.11
210,patamundai,79,IN,70,20.57,86.57,87.33,12.97
211,chokurdakh,77,RU,59,70.63,147.92,51.13,6.17
212,hokitika,75,NZ,47,-42.72,170.97,52.54,2.53
213,dauphin,1,CA,64,51.15,-100.05,69.8,5.82
214,eyl,100,SO,59,7.98,49.82,79.14,25.97
215,vardo,99,NO,84,70.37,31.11,53.2,4.65
216,hami,23,CN,22,42.8,93.45,86.32,10.69
217,washington,100,US,29,47.5,-120.5,84.99,10.0
218,mae ramat,90,CN,94,34.82,108.93,73.4,4.47
219,valdivia,90,CL,100,-39.81,-73.25,50.0,10.29
220,tabou,7,CI,85,4.42,-7.35,72.95,7.07
221,moctezuma,86,MX,83,29.8,-109.67,71.92,6.29
222,smiltene,7,LV,94,57.42,25.9,54.0,3.4
223,nizhnyaya tavda,95,RU,96,63.47,41.61,51.1,4.32
224,sao filipe,65,IN,84,20.51,76.21,76.48,9.91
225,port alfred,43,CD,53,-7.03,29.76,64.63,3.69
226,tazovskiy,3,RU,78,67.47,78.7,48.6,14.85
227,lompoc,5,US,72,34.64,-120.46,66.0,11.41
228,loukhi,0,RU,62,66.08,33.04,51.64,1.23
229,mount pleasant,12,GB,94,53.66,-1.85,60.01,3.0
230,gunnedah,75,AU,62,-30.98,150.25,59.0,5.82
231,lujan,0,AR,83,-34.57,-59.1,48.99,5.75
232,santarem,7,BR,100,-2.44,-54.71,77.0,1.36
233,sukhinichi,92,RU,93,54.1,35.34,52.72,5.3
234,cidreira,100,BR,92,-30.18,-50.21,57.72,15.12
235,galveston,1,US,79,29.37,-94.97,86.0,9.17
236,bathsheba,20,BB,74,13.22,-59.52,82.4,13.87
237,immokalee,1,US,88,26.42,-81.42,80.01,8.84
238,enshi,100,CN,88,30.3,109.48,75.61,1.9
239,atar,1,MR,38,20.52,-13.05,83.59,5.86
240,sargur,75,IN,100,11.98,76.42,71.6,12.75
241,ostrovnoy,0,RU,57,68.05,39.51,53.13,3.67
242,stornoway,99,GB,87,58.21,-6.39,53.6,5.82
243,krasnogorskoye,0,RU,69,52.3,86.2,72.43,1.16
244,shimoda,75,JP,94,34.67,138.95,68.0,12.75
245,puerto carreno,0,ES,39,36.59,-6.23,78.8,13.87
246,klyuchi,6,RU,59,52.27,79.17,77.2,12.84
247,victoria,97,HK,62,22.29,114.16,89.01,13.0
248,sibolga,0,ID,63,1.74,98.78,82.85,0.51
249,balkanabat,0,TM,70,39.51,54.37,79.0,5.26
250,talbahat,0,IN,57,25.05,78.43,89.55,5.35
251,waddan,0,LY,27,29.16,16.14,81.46,4.79
252,wattegama,40,LK,83,6.8,81.48,80.6,8.05
253,severnoye,0,RU,88,56.35,78.36,77.2,4.41
254,san andres,6,ML,81,13.3,-4.9,75.83,6.02
255,esperance,90,AU,100,-33.87,121.9,53.6,18.34
256,acarau,0,BR,83,-2.89,-40.12,77.25,13.65
257,halmstad,0,SE,87,56.67,12.86,55.4,6.93
258,pathein,100,MM,76,16.78,94.73,84.45,8.61
259,saint-georges,20,GD,78,12.06,-61.75,82.4,13.87
260,sidrolandia,43,BR,63,-20.93,-54.96,66.2,5.82
261,cueramaro,40,MX,60,20.62,-101.72,71.6,8.05
262,alice springs,1,US,74,27.75,-98.07,84.2,13.87
263,sao miguel do araguaia,65,IN,84,20.51,76.21,76.48,9.91
264,beidao,0,CN,47,34.57,105.89,82.99,3.85
265,kushiro,75,JP,87,42.98,144.37,59.0,8.05
266,veraval,17,IN,81,20.9,70.37,83.19,5.93
267,cacule,40,BR,80,-14.5,-42.22,65.01,6.82
268,rio gallegos,0,GR,88,38.3,21.78,69.8,1.59
269,honiara,20,SB,66,-9.43,159.95,89.6,11.41
270,erenhot,99,CN,35,43.65,111.98,76.17,16.71
271,thompson,40,CA,68,55.74,-97.86,66.2,11.41
272,jand,89,PK,63,33.43,72.02,83.26,4.34
273,campina verde,2,RO,10,45.13,25.73,52.0,23.0
274,paamiut,1,GL,74,61.99,-49.67,45.64,12.71
275,tshikapa,9,CD,42,-6.42,20.8,66.85,3.36
276,prince rupert,1,CA,73,52.97,-108.38,69.8,8.05
277,naryan-mar,44,RU,73,67.67,53.09,52.2,9.31
278,orlik,100,RU,72,52.52,99.83,48.61,2.8
279,vangaindrano,59,MG,77,-23.35,47.6,60.13,8.55
280,constitucion,100,CL,90,-35.33,-72.42,52.93,9.28
281,lincoln,1,US,74,40.8,-96.67,81.0,12.75
282,komsomolskiy,100,UZ,28,40.43,71.72,80.6,2.24
283,kruisfontein,0,ZA,44,-34.0,24.73,47.25,5.48
284,gra liyia,94,ES,83,41.77,1.25,72.0,3.0
285,starosubkhangulovo,0,RU,64,53.1,57.44,72.25,2.8
286,zigong,100,CN,92,29.34,104.78,77.32,8.25
287,haines junction,1,US,63,59.23,-135.44,66.2,14.99
288,mayna,0,RU,80,54.11,47.62,58.91,5.12
289,cristinesti,44,RO,93,48.1,26.38,59.0,2.24
290,puerto del rosario,0,ES,39,36.59,-6.23,78.8,13.87
291,inhambane,82,MZ,77,-23.86,35.38,64.92,11.74
292,namibe,0,AO,45,-15.2,12.15,69.31,6.46
293,bodden town,8,GB,93,51.2,-2.52,60.01,2.24
294,vestmannaeyjar,100,IS,89,63.44,-20.27,51.33,11.81
295,damaturu,97,NG,80,11.75,11.96,76.33,7.25
296,qasigiannguit,80,GL,70,68.82,-51.19,48.2,2.24
297,ilulissat,91,GL,70,69.22,-51.1,48.2,2.24
298,lavrentiya,100,RU,75,65.58,-171.0,52.59,3.74
299,barra,0,BR,68,-11.09,-43.14,71.71,11.39
300,vao,0,NC,63,-22.67,167.48,69.24,16.91
301,monrovia,100,LR,75,6.3,-10.8,76.05,5.73
302,bocana de paiwas,40,PH,70,10.01,122.72,84.88,4.74
303,sisimiut,90,GL,84,66.94,-53.67,46.63,1.95
304,asau,26,RO,95,46.43,26.4,54.0,4.16
305,nishihara,90,JP,94,26.18,127.76,77.0,9.17
306,tual,16,ID,83,-5.67,132.75,78.78,16.44
307,nyurba,100,RU,90,63.28,118.33,58.55,7.16
308,trelew,100,AR,84,-43.25,-65.31,41.74,10.94
309,bourail,1,NC,51,-21.57,165.48,71.19,11.9
310,porto novo,52,PT,61,41.15,-8.61,81.0,5.1
311,waipawa,87,NZ,72,-41.41,175.52,52.0,5.01
312,tukrah,0,LY,77,32.53,20.58,74.55,4.92
313,hobyo,100,SO,67,5.35,48.53,77.36,22.21
314,vozrozhdeniye,100,RU,78,44.55,38.21,66.0,1.01
315,bandarban,85,BD,70,22.2,92.23,86.56,3.65
316,vila franca do campo,47,PT,75,42.03,-8.16,66.0,5.99
317,cockburn town,0,AU,44,-32.08,141.0,57.2,6.93
318,laureles,1,US,79,26.11,-97.49,84.99,16.11
319,havre-saint-pierre,90,CA,62,50.23,-63.6,59.0,4.7
320,san policarpo,6,ML,81,13.3,-4.9,75.83,6.02
321,morondava,29,MG,57,-20.28,44.28,68.04,17.16
322,batagay,79,RU,32,67.63,134.63,66.06,2.42
323,gat,1,IL,69,31.61,34.76,73.99,3.4
324,saldanha,0,ZA,81,-33.01,17.94,42.8,3.36
325,khatanga,100,RU,75,71.97,102.5,46.08,19.19
326,tuktoyaktuk,20,CA,71,69.45,-133.04,55.4,13.87
327,margate,98,GB,77,51.38,1.39,64.99,1.99
328,port huron,53,CD,53,-7.03,29.76,64.42,2.28
329,huarmey,15,PE,84,-10.07,-78.15,60.4,7.07
330,grindavik,75,IS,81,63.84,-22.43,48.2,29.97
331,bakchar,0,RU,55,57.02,82.07,69.73,4.38
332,central point,90,US,94,30.55,-91.04,78.01,5.82
333,zlobin,100,HR,60,45.29,14.65,71.6,6.93
334,bocas del toro,20,CU,78,21.07,-76.27,80.6,9.17
335,vostok,0,RU,49,46.49,135.88,80.29,6.64
336,kovur,99,IN,56,14.48,79.98,88.27,7.96
337,pozoblanco,0,ES,38,38.38,-4.85,77.0,5.82
338,acapulco,90,MX,88,16.86,-99.89,82.4,5.82
339,grimstad,67,NO,87,58.34,8.59,55.99,6.93
340,longyearbyen,40,SJ,87,78.22,15.64,44.6,1.23
341,chumikan,100,RU,91,54.72,135.31,55.26,6.82
342,agadez,35,NE,35,19.75,10.25,86.13,4.05
343,manzhouli,93,CN,60,49.6,117.43,70.65,13.02
344,nizwa,100,OM,36,22.93,57.53,89.49,0.67
345,pullman,1,US,28,46.73,-117.18,82.99,11.41
346,manavadar,9,IN,78,21.5,70.13,84.45,6.26
347,omboue,69,GA,91,-1.57,9.26,71.69,3.29
348,itarema,0,BR,82,-2.92,-39.92,77.68,12.53
349,sucre,0,BO,59,-19.03,-65.26,55.18,5.21
350,bogorodskoye,100,RU,97,56.55,37.88,55.36,8.46
351,severo-kurilsk,95,RU,86,50.68,156.12,54.84,1.23
352,san angelo,6,ML,81,13.3,-4.9,75.83,6.02
353,manokwari,0,ID,63,-0.87,134.08,84.99,4.9
354,erzin,47,TR,88,36.96,36.2,78.01,3.94
355,ayr,75,GB,77,55.46,-4.63,62.6,12.75
356,westport,81,US,78,41.14,-73.36,68.0,8.84
357,auki,90,SB,63,-8.77,160.7,86.97,6.82
358,lata,85,PT,88,40.16,-8.33,72.0,1.12
359,husavik,90,IS,87,66.04,-17.34,48.2,23.04
360,dongying,98,CN,43,37.46,118.49,89.71,6.29
361,karratha,6,AU,33,-20.74,116.85,76.89,2.98
362,merritt,90,CA,41,50.11,-120.79,77.0,10.29
363,wexford,0,IE,65,52.33,-6.46,59.0,5.37
364,ouro preto do oeste,99,BR,93,-27.34,-51.61,59.59,1.5
365,guerrero negro,80,MX,76,17.67,-100.0,67.78,4.59
366,maykor,100,RU,95,59.01,55.88,65.61,3.33
367,hammerfest,99,NO,82,70.66,23.68,55.4,3.36
368,burhanpur,0,IN,76,21.3,76.23,82.89,5.06
369,tilichiki,100,RU,100,60.47,166.1,52.3,2.1
370,ahipara,100,NZ,91,-35.17,173.17,59.5,10.2
371,coquimbo,35,CL,100,-29.95,-71.34,48.2,11.41
372,rio de oro,0,GR,88,38.3,21.78,69.8,1.59
373,aksu,81,CN,26,41.12,80.26,85.64,3.44
374,hambantota,40,LK,83,6.12,81.12,80.6,8.05
375,aleppo,0,SY,86,36.25,37.5,70.25,15.57
376,berlevag,88,NO,83,70.86,29.09,52.36,1.95
377,rongcheng,98,CN,99,30.63,117.85,84.0,0.31
378,gladstone,0,AU,34,-23.85,151.25,66.2,6.93
379,imbituba,75,BR,100,-28.24,-48.67,57.2,6.93
380,zhoucheng,100,CN,58,35.91,116.31,83.08,10.85
381,nobres,0,BR,29,-14.72,-56.33,70.97,4.7
382,axim,27,GH,91,4.87,-2.24,73.69,7.45
383,blama,100,SL,92,7.87,-11.34,70.54,1.41
384,gorontalo,50,ID,57,0.54,123.06,87.66,3.22
385,portland,1,US,58,45.52,-122.68,78.01,1.01
386,marseille,1,FR,60,43.33,5.5,69.8,14.99
387,san julian,6,ML,81,13.3,-4.9,75.83,6.02
388,miyata,40,JP,74,33.72,130.67,84.99,10.29
389,antsohihy,58,MG,62,-14.88,47.99,70.61,10.8
390,ilula,5,TZ,62,-7.68,36.04,55.4,11.41
391,sabha,0,LY,20,27.04,14.43,84.47,11.05
392,jedrzejow,62,PL,98,50.64,20.3,57.0,1.99
393,yantongshan,0,CN,49,43.29,126.01,85.78,9.86
394,vila,64,PT,74,42.03,-8.16,66.0,5.99
395,talnakh,75,RU,76,69.49,88.4,51.8,20.13
396,urengoy,17,RU,67,65.97,78.37,55.22,13.76
397,khalkhal,0,IR,63,37.62,48.53,59.61,4.23
398,abbeville,71,FR,81,50.1,1.83,61.0,4.74
399,richards bay,1,US,64,46.84,-95.91,73.4,2.68
400,methoni,0,GR,94,36.82,21.7,75.0,4.7
401,marsabit,100,KE,94,2.33,37.99,57.27,15.57
402,pandan,71,PH,65,14.05,124.17,87.91,4.09
403,pontianak,2,ID,64,-0.03,109.33,88.2,2.66
404,dinghai,20,CN,74,26.28,119.79,87.8,13.42
405,flin flon,90,FR,87,48.5,6.66,59.0,6.93
406,pitimbu,9,BR,94,-7.47,-34.81,73.4,8.05
407,taoudenni,15,ML,27,22.68,-3.98,94.28,7.83
408,codrington,0,AU,68,-38.27,141.97,54.79,8.1
409,namatanai,21,PG,73,-3.67,152.43,84.0,3.31
410,belyy yar,98,RU,95,55.84,32.94,52.0,3.78
411,majene,22,ID,70,-3.54,118.97,82.67,6.02
412,raga,98,SS,95,8.46,25.68,68.41,3.91
413,porto velho,66,PT,69,41.15,-8.61,81.0,5.82
414,zemio,86,CF,96,5.03,25.14,66.85,0.36
415,govindgarh,21,IN,57,27.5,76.98,91.13,9.73
416,ust-kuyga,16,RU,47,70.02,135.6,58.84,12.08
417,bilma,8,NE,41,18.69,12.92,83.52,2.24
418,darnah,3,LY,85,32.77,22.64,74.61,16.87
419,tura,99,IN,91,25.52,90.22,80.15,5.95
420,bagdarin,100,RU,88,54.43,113.6,52.83,3.6
421,katobu,90,ID,78,-4.94,122.53,81.63,5.55
422,clyde river,44,US,79,41.3,-82.98,78.01,5.19
423,praia da vitoria,75,CV,73,14.92,-23.51,77.0,12.75
424,cocobeach,75,GA,83,1.0,9.58,77.0,6.93
425,chuncheng,76,CN,62,22.17,111.79,91.0,11.9
426,chaman,1,PK,15,30.92,66.45,87.67,6.2
427,nantucket,20,US,93,41.28,-70.1,57.2,4.7
428,marzuq,100,YE,40,14.4,46.47,81.77,8.55
429,yorkton,1,CA,49,51.22,-102.47,71.6,3.36
430,padang,35,ID,75,-0.95,100.35,82.69,7.52
431,petropavlovsk-kamchatskiy,20,RU,82,53.05,158.65,66.2,13.42
432,lefka,0,CY,77,35.11,32.85,69.8,9.17
433,champerico,22,GT,75,14.3,-91.92,81.64,5.84
434,kralendijk,0,BQ,78,12.15,-68.27,82.4,18.34
435,pangnirtung,43,CA,33,66.15,-65.71,63.1,4.14
436,laguna,1,US,39,38.42,-121.42,80.6,12.75
437,quelimane,53,MZ,83,-17.88,36.89,64.69,8.01
438,ambanja,22,MG,81,-13.68,48.45,65.44,4.92
439,harlingen,1,US,74,26.19,-97.7,87.01,16.11
440,kiruna,74,SE,81,67.86,20.23,53.6,3.36
441,miraflores,75,MX,46,19.22,-98.81,75.0,17.22
442,golynki,12,RU,93,54.87,31.39,51.87,4.45
443,parana,0,AR,87,-31.73,-60.52,53.01,4.0
444,gillette,1,US,28,44.29,-105.5,84.2,18.34
445,awbari,0,LY,20,26.59,12.78,81.28,5.46
446,kirakira,7,SB,75,-10.45,161.92,82.81,10.58
447,atasu,51,KZ,44,48.68,71.64,74.73,17.25
448,san patricio,6,ML,81,13.3,-4.9,75.83,6.02
449,salta,1,AR,76,-24.79,-65.41,51.8,5.82
450,ylojarvi,0,FI,87,61.56,23.6,54.0,1.12
